SITE,DATE,DATE,Watershed,WEIR-REP,Sample ID
Hubbard Brook ,3/25/2019,3/25/2019,HBK,HBK-01,ST190036
Hubbard Brook ,4/1/2019,4/1/2019,HBK,HBK-01,ST190076
Hubbard Brook ,4/8/2019,4/8/2019,HBK,HBK-01,
Hubbard Brook ,4/15/2019,4/15/2019,HBK,HBK-01,ST190116
Hubbard Brook ,4/22/2019,4/22/2019,HBK,HBK-01,ST190156
Hubbard Brook ,4/29/2019,4/29/2019,HBK,HBK-01,ST190196
Hubbard Brook ,5/6/2019,5/6/2019,HBK,HBK-01,ST190236
Hubbard Brook ,5/13/2019,5/13/2019,HBK,HBK-01,ST190276
Hubbard Brook ,5/20/2019,5/20/2019,HBK,HBK-01,ST190316
Hubbard Brook ,5/28/2019,5/28/2019,HBK,HBK-01,ST190356
Hubbard Brook ,6/2/2019,6/2/2019,HBK,HBK-01,ST190396
Hubbard Brook ,6/10/2019,6/10/2019,HBK,HBK-01,ST190436
Hubbard Brook ,6/17/2019,6/17/2019,HBK,HBK-01,ST190476
Hubbard Brook ,6/24/2019,6/24/2019,HBK,HBK-01,ST190516
Hubbard Brook ,7/1/2019,7/1/2019,HBK,HBK-01,ST190556
Hubbard Brook ,7/8/2019,7/8/2019,HBK,HBK-01,ST190596
Hubbard Brook ,7/15/2019,7/15/2019,HBK,HBK-01,ST190636
Hubbard Brook ,7/22/2019,7/22/2019,HBK,HBK-01,ST190676
Hubbard Brook ,7/29/2019,7/29/2019,HBK,HBK-01,ST190716
Hubbard Brook ,8/5/2019,8/5/2019,HBK,HBK-01,ST190756
Hubbard Brook ,8/12/2019,8/12/2019,HBK,HBK-01,ST190796
Hubbard Brook ,8/19/2019,8/19/2019,HBK,HBK-01,ST190836
Hubbard Brook ,8/26/2019,8/26/2019,HBK,HBK-01,ST190876
Hubbard Brook ,9/3/2019,9/3/2019,HBK,HBK-01,ST190916
Hubbard Brook ,9/9/2019,9/9/2019,HBK,HBK-01,ST190956
Hubbard Brook ,9/16/2019,9/16/2019,HBK,HBK-01,ST191996
Hubbard Brook ,9/23/2019,9/23/2019,HBK,HBK-01,ST191036
Hubbard Brook ,9/30/2019,9/30/2019,HBK,HBK-01,ST191076
Hubbard Brook ,10/7/2019,10/7/2019,HBK,HBK-01,ST191116
Hubbard Brook ,10/15/2019,10/15/2019,HBK,HBK-01,ST191156
Hubbard Brook ,10/21/2019,10/21/2019,HBK,HBK-01,ST191196
Hubbard Brook ,10/28/2019,10/28/2019,HBK,HBK-01,ST191236
Hubbard Brook ,11/4/2019,11/4/2019,HBK,HBK-01,ST191276
Hubbard Brook ,11/11/2019,11/11/2019,HBK,HBK-01,ST191316
Hubbard Brook ,11/18/2019,11/18/2019,HBK,HBK-01,ST191356
Hubbard Brook ,11/25/2019,11/25/2019,HBK,HBK-01,ST191396
Hubbard Brook ,12/3/2019,12/3/2019,HBK,HBK-01,ST191436
Hubbard Brook ,3/25/2019,3/25/2019,HBK,HBK-02,ST190037
Hubbard Brook ,4/1/2019,4/1/2019,HBK,HBK-02,ST190077
Hubbard Brook ,4/8/2019,4/8/2019,HBK,HBK-02,
Hubbard Brook ,4/15/2019,4/15/2019,HBK,HBK-02,ST190117
Hubbard Brook ,4/22/2019,4/22/2019,HBK,HBK-02,ST190157
Hubbard Brook ,4/29/2019,4/29/2019,HBK,HBK-02,ST190197
Hubbard Brook ,5/6/2019,5/6/2019,HBK,HBK-02,ST190237
Hubbard Brook ,5/13/2019,5/13/2019,HBK,HBK-02,ST190277
Hubbard Brook ,5/20/2019,5/20/2019,HBK,HBK-02,ST190317
Hubbard Brook ,5/28/2019,5/28/2019,HBK,HBK-02,ST190357
Hubbard Brook ,6/2/2019,6/2/2019,HBK,HBK-02,ST190397
Hubbard Brook ,6/10/2019,6/10/2019,HBK,HBK-02,ST190437
Hubbard Brook ,6/17/2019,6/17/2019,HBK,HBK-02,ST190477
Hubbard Brook ,6/24/2019,6/24/2019,HBK,HBK-02,ST190517
Hubbard Brook ,7/1/2019,7/1/2019,HBK,HBK-02,ST190557
Hubbard Brook ,7/8/2019,7/8/2019,HBK,HBK-02,ST190597
Hubbard Brook ,7/15/2019,7/15/2019,HBK,HBK-02,ST190637
Hubbard Brook ,7/22/2019,7/22/2019,HBK,HBK-02,ST190677
Hubbard Brook ,7/29/2019,7/29/2019,HBK,HBK-02,ST190717
Hubbard Brook ,8/5/2019,8/5/2019,HBK,HBK-02,ST190757
Hubbard Brook ,8/12/2019,8/12/2019,HBK,HBK-02,ST190797
Hubbard Brook ,8/19/2019,8/19/2019,HBK,HBK-02,ST190837
Hubbard Brook ,8/26/2019,8/26/2019,HBK,HBK-02,ST190877
Hubbard Brook ,9/3/2019,9/3/2019,HBK,HBK-02,ST190917
Hubbard Brook ,9/9/2019,9/9/2019,HBK,HBK-02,ST190957
Hubbard Brook ,9/16/2019,9/16/2019,HBK,HBK-02,ST191997
Hubbard Brook ,9/23/2019,9/23/2019,HBK,HBK-02,ST191037
Hubbard Brook ,9/30/2019,9/30/2019,HBK,HBK-02,ST191077
Hubbard Brook ,10/7/2019,10/7/2019,HBK,HBK-02,ST191117
Hubbard Brook ,10/15/2019,10/15/2019,HBK,HBK-02,ST191157
Hubbard Brook ,10/21/2019,10/21/2019,HBK,HBK-02,ST191197
Hubbard Brook ,10/28/2019,10/28/2019,HBK,HBK-02,ST191237
Hubbard Brook ,11/4/2019,11/4/2019,HBK,HBK-02,ST191277
Hubbard Brook ,11/11/2019,11/11/2019,HBK,HBK-02,ST191317
Hubbard Brook ,11/18/2019,11/18/2019,HBK,HBK-02,ST191357
Hubbard Brook ,11/25/2019,11/25/2019,HBK,HBK-02,ST191397
Hubbard Brook ,12/3/2019,12/3/2019,HBK,HBK-02,ST191437
Hubbard Brook ,3/25/2019,3/25/2019,HBK,HBK-03,ST190038
Hubbard Brook ,4/1/2019,4/1/2019,HBK,HBK-03,ST190078
Hubbard Brook ,4/8/2019,4/8/2019,HBK,HBK-03,
Hubbard Brook ,4/15/2019,4/15/2019,HBK,HBK-03,ST190118
Hubbard Brook ,4/22/2019,4/22/2019,HBK,HBK-03,ST190158
Hubbard Brook ,4/29/2019,4/29/2019,HBK,HBK-03,ST190198
Hubbard Brook ,5/6/2019,5/6/2019,HBK,HBK-03,ST190238
Hubbard Brook ,5/13/2019,5/13/2019,HBK,HBK-03,ST190278
Hubbard Brook ,5/20/2019,5/20/2019,HBK,HBK-03,ST190318
Hubbard Brook ,5/28/2019,5/28/2019,HBK,HBK-03,ST190358
Hubbard Brook ,6/2/2019,6/2/2019,HBK,HBK-03,ST190398
Hubbard Brook ,6/10/2019,6/10/2019,HBK,HBK-03,ST190438
Hubbard Brook ,6/17/2019,6/17/2019,HBK,HBK-03,ST190478
Hubbard Brook ,6/24/2019,6/24/2019,HBK,HBK-03,ST190518
Hubbard Brook ,7/1/2019,7/1/2019,HBK,HBK-03,ST190558
Hubbard Brook ,7/8/2019,7/8/2019,HBK,HBK-03,ST190598
Hubbard Brook ,7/15/2019,7/15/2019,HBK,HBK-03,ST190638
Hubbard Brook ,7/22/2019,7/22/2019,HBK,HBK-03,ST190678
Hubbard Brook ,7/29/2019,7/29/2019,HBK,HBK-03,ST190718
Hubbard Brook ,8/5/2019,8/5/2019,HBK,HBK-03,ST190758
Hubbard Brook ,8/12/2019,8/12/2019,HBK,HBK-03,ST190798
Hubbard Brook ,8/19/2019,8/19/2019,HBK,HBK-03,ST190838
Hubbard Brook ,8/26/2019,8/26/2019,HBK,HBK-03,ST190878
Hubbard Brook ,9/3/2019,9/3/2019,HBK,HBK-03,ST190918
Hubbard Brook ,9/9/2019,9/9/2019,HBK,HBK-03,ST190958
Hubbard Brook ,9/16/2019,9/16/2019,HBK,HBK-03,ST191998
Hubbard Brook ,9/23/2019,9/23/2019,HBK,HBK-03,ST191038
Hubbard Brook ,9/30/2019,9/30/2019,HBK,HBK-03,ST191078
Hubbard Brook ,10/7/2019,10/7/2019,HBK,HBK-03,ST191118
Hubbard Brook ,10/15/2019,10/15/2019,HBK,HBK-03,ST191158
Hubbard Brook ,10/21/2019,10/21/2019,HBK,HBK-03,ST191198
Hubbard Brook ,10/28/2019,10/28/2019,HBK,HBK-03,ST191238
Hubbard Brook ,11/4/2019,11/4/2019,HBK,HBK-03,ST191278
Hubbard Brook ,11/11/2019,11/11/2019,HBK,HBK-03,ST191318
Hubbard Brook ,11/18/2019,11/18/2019,HBK,HBK-03,ST191358
Hubbard Brook ,11/25/2019,11/25/2019,HBK,HBK-03,ST191398
Hubbard Brook ,12/3/2019,12/3/2019,HBK,HBK-03,ST191438
Hubbard Brook ,3/25/2019,3/25/2019,HBK,HBK-04,ST190039
Hubbard Brook ,4/1/2019,4/1/2019,HBK,HBK-04,ST190079
Hubbard Brook ,4/8/2019,4/8/2019,HBK,HBK-04,
Hubbard Brook ,4/15/2019,4/15/2019,HBK,HBK-04,ST190119
Hubbard Brook ,4/22/2019,4/22/2019,HBK,HBK-04,ST190159
Hubbard Brook ,4/29/2019,4/29/2019,HBK,HBK-04,ST190199
Hubbard Brook ,5/6/2019,5/6/2019,HBK,HBK-04,ST190239
Hubbard Brook ,5/13/2019,5/13/2019,HBK,HBK-04,ST190279
Hubbard Brook ,5/20/2019,5/20/2019,HBK,HBK-04,ST190319
Hubbard Brook ,5/28/2019,5/28/2019,HBK,HBK-04,ST190359
Hubbard Brook ,6/2/2019,6/2/2019,HBK,HBK-04,ST190399
Hubbard Brook ,6/10/2019,6/10/2019,HBK,HBK-04,ST190439
Hubbard Brook ,6/17/2019,6/17/2019,HBK,HBK-04,ST190479
Hubbard Brook ,6/24/2019,6/24/2019,HBK,HBK-04,ST190519
Hubbard Brook ,7/1/2019,7/1/2019,HBK,HBK-04,ST190559
Hubbard Brook ,7/8/2019,7/8/2019,HBK,HBK-04,ST19599
Hubbard Brook ,7/15/2019,7/15/2019,HBK,HBK-04,ST190639
Hubbard Brook ,7/22/2019,7/22/2019,HBK,HBK-04,ST190679
Hubbard Brook ,7/29/2019,7/29/2019,HBK,HBK-04,ST190719
Hubbard Brook ,8/5/2019,8/5/2019,HBK,HBK-04,ST190759
Hubbard Brook ,8/12/2019,8/12/2019,HBK,HBK-04,ST190799
Hubbard Brook ,8/19/2019,8/19/2019,HBK,HBK-04,ST190839
Hubbard Brook ,8/26/2019,8/26/2019,HBK,HBK-04,ST190879
