,Sample,Watershed,Date,aDipteran_Large,Terrestrial_Large,Caddisfly_Large,Mayfly_Large,Stonefly_Large,Other_Large,aDipteran_Small,Terrestrial_Small,Other_Small
1,1,1,5/14/2018,0,4,0,0,0,0,0,0,0
2,1,2,5/14/2018,0,0,0,0,0,3,64,0,10
3,1,3,5/14/2018,3,1,0,0,0,1,90,0,5
4,1,4,5/14/2018,3,1,0,0,0,1,90,0,5
5,1,6,5/14/2018,0,0,0,0,0,0,45,0,0
6,2,1,5/14/2018,0,7,0,0,0,0,48,28,0
7,2,2,5/14/2018,0,0,0,0,0,4,23,0,0
8,2,3,5/14/2018,0,1,0,0,0,0,53,0,2
9,2,4,5/14/2018,0,1,0,0,0,0,53,0,2
10,2,6,5/14/2018,0,0,0,0,0,2,44,0,4
11,3,1,5/14/2018,0,1,0,0,0,0,0,0,0
12,3,2,5/14/2018,0,0,0,0,0,0,39,0,0
13,3,3,5/14/2018,0,1,0,0,0,3,82,0,1
14,3,4,5/14/2018,0,1,0,0,0,3,82,0,1
15,3,6,5/14/2018,0,2,0,0,0,4,41,0,8
16,4,1,5/14/2018,0,3,0,0,0,0,45,15,0
17,4,2,5/14/2018,1,0,0,0,0,2,48,0,5
18,4,3,5/14/2018,1,0,0,0,0,2,24,0,5
19,4,4,5/14/2018,1,0,0,0,0,2,24,0,5
20,4,6,5/14/2018,0,0,0,0,0,3,26,0,10
21,5,1,5/14/2018,1,3,0,0,0,0,0,0,0
22,5,2,5/14/2018,0,0,0,0,0,0,79,0,11
23,5,3,5/14/2018,0,0,0,0,0,0,9,0,1
24,5,4,5/14/2018,0,0,0,0,0,0,9,0,1
25,5,6,5/14/2018,3,0,0,0,0,0,43,0,8
26,6,1,5/14/2018,1,3,0,0,1,0,0,0,0
27,6,2,5/14/2018,0,0,0,0,0,0,42,0,10
28,6,3,5/14/2018,0,5,0,0,0,2,20,0,1
29,6,4,5/14/2018,0,5,0,0,0,2,20,0,1
30,6,6,5/14/2018,4,0,0,0,0,3,207,0,10
31,7,1,5/14/2018,0,2,0,0,0,0,54,34,0
32,7,2,5/14/2018,0,0,0,0,0,0,43,0,0
33,7,3,5/14/2018,0,0,0,0,0,0,6,0,2
34,7,4,5/14/2018,0,0,0,0,0,0,6,0,2
35,7,6,5/14/2018,0,0,0,0,0,0,57,0,6
36,8,1,5/14/2018,4,3,0,0,0,0,0,0,0
37,8,2,5/14/2018,0,0,0,0,0,2,36,0,6
38,8,3,5/14/2018,5,7,0,0,0,0,127,0,10
39,8,4,5/14/2018,5,7,0,0,0,0,127,0,10
40,8,6,5/14/2018,0,0,0,0,0,0,65,0,13
41,9,1,5/14/2018,2,3,1,0,0,0,0,0,0
42,9,2,5/14/2018,1,0,0,0,0,1,16,0,2
43,9,3,5/14/2018,0,2,0,0,0,1,50,0,6
44,9,4,5/14/2018,0,2,0,0,0,0,50,0,6
45,9,6,5/14/2018,0,0,0,0,0,0,272,0,14
46,10,1,5/14/2018,0,0,0,0,0,0,47,15,0
47,10,2,5/14/2018,1,0,0,0,0,2,15,0,3
48,10,3,5/14/2018,0,0,0,0,0,2,135,0,6
49,10,4,5/14/2018,0,0,0,0,0,2,135,0,6
50,10,6,5/14/2018,0,0,0,0,0,2,42,0,9
51,1,1,5/21/2018,2,1,1,0,0,0,85,4,0
52,1,2,5/21/2018,1,0,0,0,0,2,79,0,1
53,1,3,5/21/2018,2,0,0,0,0,3,96,0,0
