Watershed,date,invert,size,Sample,month,year,count
1,5/14/2018,Dipteran,Large,6,5,2018,1
1,5/14/2018,Dipteran,Large,4,5,2018,0
1,5/14/2018,Dipteran,Large,10,5,2018,0
1,5/14/2018,Dipteran,Large,2,5,2018,0
1,5/14/2018,Dipteran,Large,7,5,2018,0
1,5/14/2018,Dipteran,Large,1,5,2018,0
1,5/14/2018,Dipteran,Large,3,5,2018,0
1,5/14/2018,Dipteran,Large,5,5,2018,1
1,5/14/2018,Dipteran,Large,8,5,2018,4
1,5/14/2018,Dipteran,Large,9,5,2018,2
2,5/14/2018,Dipteran,Large,9,5,2018,1
2,5/14/2018,Dipteran,Large,10,5,2018,1
2,5/14/2018,Dipteran,Large,8,5,2018,0
2,5/14/2018,Dipteran,Large,4,5,2018,1
2,5/14/2018,Dipteran,Large,1,5,2018,0
2,5/14/2018,Dipteran,Large,2,5,2018,0
2,5/14/2018,Dipteran,Large,3,5,2018,0
2,5/14/2018,Dipteran,Large,6,5,2018,0
2,5/14/2018,Dipteran,Large,7,5,2018,0
2,5/14/2018,Dipteran,Large,5,5,2018,0
3,5/14/2018,Dipteran,Large,1,5,2018,3
3,5/14/2018,Dipteran,Large,6,5,2018,0
3,5/14/2018,Dipteran,Large,4,5,2018,1
3,5/14/2018,Dipteran,Large,10,5,2018,0
3,5/14/2018,Dipteran,Large,3,5,2018,0
3,5/14/2018,Dipteran,Large,9,5,2018,0
3,5/14/2018,Dipteran,Large,7,5,2018,0
3,5/14/2018,Dipteran,Large,5,5,2018,0
3,5/14/2018,Dipteran,Large,2,5,2018,0
3,5/14/2018,Dipteran,Large,8,5,2018,5
6,5/14/2018,Dipteran,Large,10,5,2018,0
6,5/14/2018,Dipteran,Large,2,5,2018,0
6,5/14/2018,Dipteran,Large,4,5,2018,0
6,5/14/2018,Dipteran,Large,6,5,2018,4
6,5/14/2018,Dipteran,Large,3,5,2018,0
6,5/14/2018,Dipteran,Large,5,5,2018,3
6,5/14/2018,Dipteran,Large,1,5,2018,0
6,5/14/2018,Dipteran,Large,7,5,2018,0
6,5/14/2018,Dipteran,Large,8,5,2018,0
6,5/14/2018,Dipteran,Large,9,5,2018,0
1,5/14/2018,Terrestrial,Large,6,5,2018,3
1,5/14/2018,Terrestrial,Large,4,5,2018,3
1,5/14/2018,Terrestrial,Large,10,5,2018,0
1,5/14/2018,Terrestrial,Large,2,5,2018,7
1,5/14/2018,Terrestrial,Large,7,5,2018,2
1,5/14/2018,Terrestrial,Large,1,5,2018,4
1,5/14/2018,Terrestrial,Large,3,5,2018,1
1,5/14/2018,Terrestrial,Large,5,5,2018,3
1,5/14/2018,Terrestrial,Large,8,5,2018,3
1,5/14/2018,Terrestrial,Large,9,5,2018,3
2,5/14/2018,Terrestrial,Large,9,5,2018,0
2,5/14/2018,Terrestrial,Large,10,5,2018,0
2,5/14/2018,Terrestrial,Large,8,5,2018,0
2,5/14/2018,Terrestrial,Large,4,5,2018,0
2,5/14/2018,Terrestrial,Large,1,5,2018,0
2,5/14/2018,Terrestrial,Large,2,5,2018,0
2,5/14/2018,Terrestrial,Large,3,5,2018,0
2,5/14/2018,Terrestrial,Large,6,5,2018,0
2,5/14/2018,Terrestrial,Large,7,5,2018,0
2,5/14/2018,Terrestrial,Large,5,5,2018,0
3,5/14/2018,Terrestrial,Large,1,5,2018,1
3,5/14/2018,Terrestrial,Large,6,5,2018,5
3,5/14/2018,Terrestrial,Large,4,5,2018,0
3,5/14/2018,Terrestrial,Large,10,5,2018,0
3,5/14/2018,Terrestrial,Large,3,5,2018,1
3,5/14/2018,Terrestrial,Large,9,5,2018,2
3,5/14/2018,Terrestrial,Large,7,5,2018,0
3,5/14/2018,Terrestrial,Large,5,5,2018,0
3,5/14/2018,Terrestrial,Large,2,5,2018,1
3,5/14/2018,Terrestrial,Large,8,5,2018,7
6,5/14/2018,Terrestrial,Large,10,5,2018,0
6,5/14/2018,Terrestrial,Large,2,5,2018,0
6,5/14/2018,Terrestrial,Large,4,5,2018,0
6,5/14/2018,Terrestrial,Large,6,5,2018,0
6,5/14/2018,Terrestrial,Large,3,5,2018,2
6,5/14/2018,Terrestrial,Large,5,5,2018,0
6,5/14/2018,Terrestrial,Large,1,5,2018,0
6,5/14/2018,Terrestrial,Large,7,5,2018,0
6,5/14/2018,Terrestrial,Large,8,5,2018,0
6,5/14/2018,Terrestrial,Large,9,5,2018,0
1,5/14/2018,Caddisfly,Large,6,5,2018,0
1,5/14/2018,Caddisfly,Large,4,5,2018,0
1,5/14/2018,Caddisfly,Large,10,5,2018,0
1,5/14/2018,Caddisfly,Large,2,5,2018,0
1,5/14/2018,Caddisfly,Large,7,5,2018,0
1,5/14/2018,Caddisfly,Large,1,5,2018,0
1,5/14/2018,Caddisfly,Large,3,5,2018,0
1,5/14/2018,Caddisfly,Large,5,5,2018,0
1,5/14/2018,Caddisfly,Large,8,5,2018,0
1,5/14/2018,Caddisfly,Large,9,5,2018,1
2,5/14/2018,Caddisfly,Large,9,5,2018,0
2,5/14/2018,Caddisfly,Large,10,5,2018,0
2,5/14/2018,Caddisfly,Large,8,5,2018,0
2,5/14/2018,Caddisfly,Large,4,5,2018,0
2,5/14/2018,Caddisfly,Large,1,5,2018,0
2,5/14/2018,Caddisfly,Large,2,5,2018,0
2,5/14/2018,Caddisfly,Large,3,5,2018,0
2,5/14/2018,Caddisfly,Large,6,5,2018,0
2,5/14/2018,Caddisfly,Large,7,5,2018,0
2,5/14/2018,Caddisfly,Large,5,5,2018,0
3,5/14/2018,Caddisfly,Large,1,5,2018,0
3,5/14/2018,Caddisfly,Large,6,5,2018,0
3,5/14/2018,Caddisfly,Large,4,5,2018,0
3,5/14/2018,Caddisfly,Large,10,5,2018,0
3,5/14/2018,Caddisfly,Large,3,5,2018,0
3,5/14/2018,Caddisfly,Large,9,5,2018,0
3,5/14/2018,Caddisfly,Large,7,5,2018,0
3,5/14/2018,Caddisfly,Large,5,5,2018,0
3,5/14/2018,Caddisfly,Large,2,5,2018,0
3,5/14/2018,Caddisfly,Large,8,5,2018,0
6,5/14/2018,Caddisfly,Large,10,5,2018,0
6,5/14/2018,Caddisfly,Large,2,5,2018,0
6,5/14/2018,Caddisfly,Large,4,5,2018,0
6,5/14/2018,Caddisfly,Large,6,5,2018,0
6,5/14/2018,Caddisfly,Large,3,5,2018,0
6,5/14/2018,Caddisfly,Large,5,5,2018,0
6,5/14/2018,Caddisfly,Large,1,5,2018,0
6,5/14/2018,Caddisfly,Large,7,5,2018,0
6,5/14/2018,Caddisfly,Large,8,5,2018,0
6,5/14/2018,Caddisfly,Large,9,5,2018,0
1,5/14/2018,Mayfly,Large,6,5,2018,0
1,5/14/2018,Mayfly,Large,4,5,2018,0
1,5/14/2018,Mayfly,Large,10,5,2018,0
1,5/14/2018,Mayfly,Large,2,5,2018,0
1,5/14/2018,Mayfly,Large,7,5,2018,0
1,5/14/2018,Mayfly,Large,1,5,2018,0
1,5/14/2018,Mayfly,Large,3,5,2018,0
1,5/14/2018,Mayfly,Large,5,5,2018,0
1,5/14/2018,Mayfly,Large,8,5,2018,0
1,5/14/2018,Mayfly,Large,9,5,2018,0
2,5/14/2018,Mayfly,Large,9,5,2018,0
2,5/14/2018,Mayfly,Large,10,5,2018,0
2,5/14/2018,Mayfly,Large,8,5,2018,0
2,5/14/2018,Mayfly,Large,4,5,2018,0
2,5/14/2018,Mayfly,Large,1,5,2018,0
2,5/14/2018,Mayfly,Large,2,5,2018,0
