"Watershed","date","invert","Sample","size","count_zero","month","year"
"HBK",2018-07-09,"Dipteran","1","Large",1,7,2018
"HBK",2018-07-09,"Dipteran","2","Large",1,7,2018
"HBK",2018-07-09,"Dipteran","3","Large",1,7,2018
"HBK",2018-07-09,"Dipteran","4","Large",1,7,2018
"HBK",2018-07-09,"Dipteran","5","Large",3,7,2018
"HBK",2018-07-09,"Dipteran","6","Large",4,7,2018
"HBK",2018-07-09,"Dipteran","7","Large",4,7,2018
"HBK",2018-07-09,"Dipteran","8","Large",2,7,2018
"HBK",2018-07-09,"Dipteran","9","Large",1,7,2018
"HBK",2018-07-09,"Dipteran","10","Large",1,7,2018
"HBK",2018-07-16,"Dipteran","1","Large",0,7,2018
"HBK",2018-07-16,"Dipteran","2","Large",1,7,2018
"HBK",2018-07-16,"Dipteran","3","Large",2,7,2018
"HBK",2018-07-16,"Dipteran","4","Large",2,7,2018
"HBK",2018-07-16,"Dipteran","5","Large",2,7,2018
"HBK",2018-07-16,"Dipteran","6","Large",1,7,2018
"HBK",2018-07-16,"Dipteran","7","Large",2,7,2018
"HBK",2018-07-16,"Dipteran","8","Large",0,7,2018
"HBK",2018-07-16,"Dipteran","9","Large",1,7,2018
"HBK",2018-07-16,"Dipteran","10","Large",1,7,2018
"HBK",2018-07-23,"Dipteran","1","Large",1,7,2018
"HBK",2018-07-23,"Dipteran","2","Large",2,7,2018
"HBK",2018-07-23,"Dipteran","3","Large",1,7,2018
"HBK",2018-07-23,"Dipteran","4","Large",5,7,2018
"HBK",2018-07-23,"Dipteran","5","Large",0,7,2018
"HBK",2018-07-23,"Dipteran","6","Large",0,7,2018
"HBK",2018-07-23,"Dipteran","7","Large",4,7,2018
"HBK",2018-07-23,"Dipteran","8","Large",3,7,2018
"HBK",2018-07-23,"Dipteran","9","Large",0,7,2018
"HBK",2018-07-23,"Dipteran","10","Large",0,7,2018
"HBK",2018-07-30,"Dipteran","1","Large",0,7,2018
"HBK",2018-07-30,"Dipteran","2","Large",0,7,2018
"HBK",2018-07-30,"Dipteran","3","Large",1,7,2018
"HBK",2018-07-30,"Dipteran","4","Large",1,7,2018
"HBK",2018-07-30,"Dipteran","5","Large",0,7,2018
"HBK",2018-07-30,"Dipteran","6","Large",1,7,2018
"HBK",2018-07-30,"Dipteran","7","Large",1,7,2018
"HBK",2018-07-30,"Dipteran","8","Large",0,7,2018
"HBK",2018-07-30,"Dipteran","9","Large",1,7,2018
"HBK",2018-07-30,"Dipteran","10","Large",0,7,2018
"HBK",2018-08-06,"Dipteran","1","Large",0,8,2018
"HBK",2018-08-06,"Dipteran","2","Large",2,8,2018
"HBK",2018-08-06,"Dipteran","3","Large",0,8,2018
"HBK",2018-08-06,"Dipteran","4","Large",0,8,2018
"HBK",2018-08-06,"Dipteran","5","Large",0,8,2018
"HBK",2018-08-06,"Dipteran","6","Large",1,8,2018
"HBK",2018-08-06,"Dipteran","7","Large",2,8,2018
"HBK",2018-08-06,"Dipteran","8","Large",0,8,2018
"HBK",2018-08-06,"Dipteran","9","Large",0,8,2018
"HBK",2018-08-06,"Dipteran","10","Large",0,8,2018
"HBK",2018-08-13,"Dipteran","1","Large",1,8,2018
"HBK",2018-08-13,"Dipteran","2","Large",0,8,2018
"HBK",2018-08-13,"Dipteran","3","Large",2,8,2018
"HBK",2018-08-13,"Dipteran","4","Large",0,8,2018
"HBK",2018-08-13,"Dipteran","5","Large",0,8,2018
"HBK",2018-08-13,"Dipteran","6","Large",1,8,2018
"HBK",2018-08-13,"Dipteran","7","Large",0,8,2018
"HBK",2018-08-13,"Dipteran","8","Large",0,8,2018
"HBK",2018-08-13,"Dipteran","9","Large",1,8,2018
"HBK",2018-08-13,"Dipteran","10","Large",0,8,2018
"HBK",2018-08-20,"Dipteran","1","Large",0,8,2018
"HBK",2018-08-20,"Dipteran","2","Large",1,8,2018
"HBK",2018-08-20,"Dipteran","3","Large",0,8,2018
"HBK",2018-08-20,"Dipteran","4","Large",0,8,2018
"HBK",2018-08-20,"Dipteran","5","Large",1,8,2018
"HBK",2018-08-20,"Dipteran","6","Large",1,8,2018
"HBK",2018-08-20,"Dipteran","7","Large",2,8,2018
"HBK",2018-08-20,"Dipteran","8","Large",1,8,2018
"HBK",2018-08-20,"Dipteran","9","Large",0,8,2018
"HBK",2018-08-20,"Dipteran","10","Large",0,8,2018
"HBK",2018-08-27,"Dipteran","1","Large",1,8,2018
