"","date","Watershed","month","year","Sample","count_sum"
"1",2020-03-25,"4",3,2020,"ST190016",1
"2",2020-04-01,"1",4,2020,"ST190041",5
"3",2020-04-01,"2",4,2020,"ST190046",2
"4",2020-04-01,"3",4,2020,"ST190051",2
"5",2020-04-01,"6",4,2020,"ST190066",0
"6",2020-04-01,"9",4,2020,"ST190071",2
"7",2020-04-08,"1",4,2020,"1",2
"8",2020-04-08,"1",4,2020,"2",2
"9",2020-04-08,"2",4,2020,"",10
"10",2020-04-08,"2",4,2020,NA,5
"11",2020-04-08,"3",4,2020,"1",2
"12",2020-04-08,"3",4,2020,"2",2
"13",2020-04-08,"3",4,2020,"3",3
"14",2020-04-08,"3",4,2020,"4",3
"15",2020-04-08,"6",4,2020,"",3
"16",2020-04-15,"1",4,2020,"ST190081",3
"17",2020-04-15,"2",4,2020,"ST190086",4
"18",2020-04-15,"3",4,2020,"ST190091",3
"19",2020-04-15,"4",4,2020,"ST190096",1
"20",2020-04-15,"HBK",4,2020,"ST190116",7
"21",2020-04-22,"1",4,2020,"ST190121",3
"22",2020-04-22,"2",4,2020,"ST190126",1
"23",2020-04-22,"3",4,2020,"ST190131",2
"24",2020-04-29,"1",4,2020,"ST190161",20
"25",2020-04-29,"1",4,2020,"ST190162",22
"26",2020-04-29,"1",4,2020,"ST190163",20
"27",2020-04-29,"1",4,2020,"ST190164",20
"28",2020-04-29,"1",4,2020,"ST190165",4
"29",2020-04-29,"2",4,2020,"ST190166",30
"30",2020-04-29,"2",4,2020,"ST190167",27
"31",2020-04-29,"2",4,2020,"ST190168",24
"32",2020-04-29,"2",4,2020,"ST190169",17
"33",2020-04-29,"2",4,2020,"ST190170",13
"34",2020-04-29,"3",4,2020,"ST190171",76
"35",2020-04-29,"3",4,2020,"ST190172",32
"36",2020-04-29,"3",4,2020,"ST190173",44
"37",2020-04-29,"3",4,2020,"ST190174",44
"38",2020-04-29,"3",4,2020,"ST190175",76
"39",2020-04-29,"4",4,2020,"ST190176",14
"40",2020-04-29,"4",4,2020,"ST190177",0
"41",2020-04-29,"4",4,2020,"ST190178",0
"42",2020-04-29,"4",4,2020,"ST190179",0
"43",2020-04-29,"4",4,2020,"ST190180",0
"44",2020-04-29,"6",4,2020,"ST190186",30
"45",2020-04-29,"6",4,2020,"ST190187",26
"46",2020-04-29,"6",4,2020,"ST190188",22
"47",2020-04-29,"6",4,2020,"ST190189",21
"48",2020-04-29,"6",4,2020,"ST190190",24
"49",2020-04-29,"HBK",4,2020,"ST190196",13
"50",2020-05-06,"1",5,2020,"ST190201",33
"51",2020-05-06,"1",5,2020,"ST190202",34
"52",2020-05-06,"1",5,2020,"ST190203",66
"53",2020-05-06,"1",5,2020,"ST190204",22
"54",2020-05-06,"1",5,2020,"ST190205",39
"55",2020-05-06,"2",5,2020,"ST190206",39
"56",2020-05-06,"2",5,2020,"ST190207",75
"57",2020-05-06,"2",5,2020,"ST190208",33
"58",2020-05-06,"2",5,2020,"ST190209",34
"59",2020-05-06,"2",5,2020,"ST190210",33
"60",2020-05-06,"3",5,2020,"ST190211",43
"61",2020-05-06,"3",5,2020,"ST190212",49
"62",2020-05-06,"3",5,2020,"ST190213",53
"63",2020-05-06,"3",5,2020,"ST190214",69
"64",2020-05-06,"3",5,2020,"ST190215",39
"65",2020-05-06,"4",5,2020,"ST190216",37
"66",2020-05-06,"4",5,2020,"ST190217",56
"67",2020-05-06,"4",5,2020,"ST190218",81
"68",2020-05-06,"4",5,2020,"ST190219",30
