"","Watershed","date","Date","invert","size","count_zero","month","year","week"
"1","1",2018-05-14,"5/14/2018","aDipteran","Large",0,5,2018,20
"2","2",2018-05-14,"5/14/2018","aDipteran","Large",0,5,2018,20
"3","3",2018-05-14,"5/14/2018","aDipteran","Large",3,5,2018,20
"4","4",2018-05-14,"5/14/2018","aDipteran","Large",3,5,2018,20
"5","6",2018-05-14,"5/14/2018","aDipteran","Large",0,5,2018,20
"6","1",2018-05-14,"5/14/2018","aDipteran","Large",0,5,2018,20
"7","2",2018-05-14,"5/14/2018","aDipteran","Large",0,5,2018,20
"8","3",2018-05-14,"5/14/2018","aDipteran","Large",0,5,2018,20
"9","4",2018-05-14,"5/14/2018","aDipteran","Large",0,5,2018,20
"10","6",2018-05-14,"5/14/2018","aDipteran","Large",0,5,2018,20
"11","1",2018-05-14,"5/14/2018","aDipteran","Large",0,5,2018,20
"12","2",2018-05-14,"5/14/2018","aDipteran","Large",0,5,2018,20
"13","3",2018-05-14,"5/14/2018","aDipteran","Large",0,5,2018,20
"14","4",2018-05-14,"5/14/2018","aDipteran","Large",0,5,2018,20
"15","6",2018-05-14,"5/14/2018","aDipteran","Large",0,5,2018,20
"16","1",2018-05-14,"5/14/2018","aDipteran","Large",0,5,2018,20
"17","2",2018-05-14,"5/14/2018","aDipteran","Large",1,5,2018,20
"18","3",2018-05-14,"5/14/2018","aDipteran","Large",1,5,2018,20
"19","4",2018-05-14,"5/14/2018","aDipteran","Large",1,5,2018,20
"20","6",2018-05-14,"5/14/2018","aDipteran","Large",0,5,2018,20
"21","1",2018-05-14,"5/14/2018","aDipteran","Large",1,5,2018,20
"22","2",2018-05-14,"5/14/2018","aDipteran","Large",0,5,2018,20
"23","3",2018-05-14,"5/14/2018","aDipteran","Large",0,5,2018,20
"24","4",2018-05-14,"5/14/2018","aDipteran","Large",0,5,2018,20
"25","6",2018-05-14,"5/14/2018","aDipteran","Large",3,5,2018,20
"26","1",2018-05-14,"5/14/2018","aDipteran","Large",1,5,2018,20
"27","2",2018-05-14,"5/14/2018","aDipteran","Large",0,5,2018,20
"28","3",2018-05-14,"5/14/2018","aDipteran","Large",0,5,2018,20
"29","4",2018-05-14,"5/14/2018","aDipteran","Large",0,5,2018,20
"30","6",2018-05-14,"5/14/2018","aDipteran","Large",4,5,2018,20
"31","1",2018-05-14,"5/14/2018","aDipteran","Large",0,5,2018,20
"32","2",2018-05-14,"5/14/2018","aDipteran","Large",0,5,2018,20
"33","3",2018-05-14,"5/14/2018","aDipteran","Large",0,5,2018,20
"34","4",2018-05-14,"5/14/2018","aDipteran","Large",0,5,2018,20
"35","6",2018-05-14,"5/14/2018","aDipteran","Large",0,5,2018,20
"36","1",2018-05-14,"5/14/2018","aDipteran","Large",4,5,2018,20
"37","2",2018-05-14,"5/14/2018","aDipteran","Large",0,5,2018,20
"38","3",2018-05-14,"5/14/2018","aDipteran","Large",5,5,2018,20
"39","4",2018-05-14,"5/14/2018","aDipteran","Large",5,5,2018,20
"40","6",2018-05-14,"5/14/2018","aDipteran","Large",0,5,2018,20
"41","1",2018-05-14,"5/14/2018","aDipteran","Large",2,5,2018,20
"42","2",2018-05-14,"5/14/2018","aDipteran","Large",1,5,2018,20
"43","3",2018-05-14,"5/14/2018","aDipteran","Large",0,5,2018,20
"44","4",2018-05-14,"5/14/2018","aDipteran","Large",0,5,2018,20
"45","6",2018-05-14,"5/14/2018","aDipteran","Large",0,5,2018,20
"46","1",2018-05-14,"5/14/2018","aDipteran","Large",0,5,2018,20
"47","2",2018-05-14,"5/14/2018","aDipteran","Large",1,5,2018,20
"48","3",2018-05-14,"5/14/2018","aDipteran","Large",0,5,2018,20
"49","4",2018-05-14,"5/14/2018","aDipteran","Large",0,5,2018,20
"50","6",2018-05-14,"5/14/2018","aDipteran","Large",0,5,2018,20
"51","1",2018-05-21,"5/21/2018","aDipteran","Large",2,5,2018,21
"52","2",2018-05-21,"5/21/2018","aDipteran","Large",1,5,2018,21
"53","3",2018-05-21,"5/21/2018","aDipteran","Large",2,5,2018,21
"54","4",2018-05-21,"5/21/2018","aDipteran","Large",2,5,2018,21
"55","6",2018-05-21,"5/21/2018","aDipteran","Large",4,5,2018,21
"56","9",2018-05-21,"5/21/2018","aDipteran","Large",10,5,2018,21
"57","9",2018-05-21,"5/21/2018","aDipteran","Large",10,5,2018,21
"58","1",2018-05-21,"5/21/2018","aDipteran","Large",1,5,2018,21
"59","2",2018-05-21,"5/21/2018","aDipteran","Large",0,5,2018,21
"60","3",2018-05-21,"5/21/2018","aDipteran","Large",5,5,2018,21
"61","4",2018-05-21,"5/21/2018","aDipteran","Large",5,5,2018,21
"62","6",2018-05-21,"5/21/2018","aDipteran","Large",0,5,2018,21
"63","9",2018-05-21,"5/21/2018","aDipteran","Large",3,5,2018,21
"64","9",2018-05-21,"5/21/2018","aDipteran","Large",3,5,2018,21
"65","1",2018-05-21,"5/21/2018","aDipteran","Large",0,5,2018,21
"66","2",2018-05-21,"5/21/2018","aDipteran","Large",0,5,2018,21
"67","3",2018-05-21,"5/21/2018","aDipteran","Large",2,5,2018,21
"68","4",2018-05-21,"5/21/2018","aDipteran","Large",2,5,2018,21
"69","6",2018-05-21,"5/21/2018","aDipteran","Large",0,5,2018,21
