Watershed,date,invert,size,count_zero,month,year,,,
1,5/14/2018,Dipteran,Large,0,5,2018,,,
1,5/14/2018,Dipteran,Large,0,5,2018,,,
1,5/14/2018,Dipteran,Large,0,5,2018,,,
1,5/14/2018,Dipteran,Large,0,5,2018,,,110742
1,5/14/2018,Dipteran,Large,1,5,2018,,,
1,5/14/2018,Dipteran,Large,1,5,2018,,,
1,5/14/2018,Dipteran,Large,0,5,2018,,,
1,5/14/2018,Dipteran,Large,4,5,2018,,,
1,5/14/2018,Dipteran,Large,2,5,2018,,,
1,5/14/2018,Dipteran,Large,0,5,2018,,,
2,5/14/2018,Dipteran,Large,0,5,2018,,,
2,5/14/2018,Dipteran,Large,0,5,2018,,,
2,5/14/2018,Dipteran,Large,0,5,2018,,,
2,5/14/2018,Dipteran,Large,1,5,2018,,,
2,5/14/2018,Dipteran,Large,0,5,2018,,,
2,5/14/2018,Dipteran,Large,0,5,2018,,,
2,5/14/2018,Dipteran,Large,0,5,2018,,,
2,5/14/2018,Dipteran,Large,0,5,2018,,,
2,5/14/2018,Dipteran,Large,1,5,2018,,,
2,5/14/2018,Dipteran,Large,1,5,2018,,,
4,5/14/2018,Dipteran,Large,3,5,2018,,,
4,5/14/2018,Dipteran,Large,0,5,2018,,,
4,5/14/2018,Dipteran,Large,0,5,2018,,,
4,5/14/2018,Dipteran,Large,1,5,2018,,,
4,5/14/2018,Dipteran,Large,0,5,2018,,,
4,5/14/2018,Dipteran,Large,0,5,2018,,,
4,5/14/2018,Dipteran,Large,0,5,2018,,,
4,5/14/2018,Dipteran,Large,5,5,2018,,,
4,5/14/2018,Dipteran,Large,0,5,2018,,,
4,5/14/2018,Dipteran,Large,0,5,2018,,,
6,5/14/2018,Dipteran,Large,0,5,2018,,,
6,5/14/2018,Dipteran,Large,0,5,2018,,,
6,5/14/2018,Dipteran,Large,0,5,2018,,,
6,5/14/2018,Dipteran,Large,0,5,2018,,,
6,5/14/2018,Dipteran,Large,3,5,2018,,,
6,5/14/2018,Dipteran,Large,4,5,2018,,,
6,5/14/2018,Dipteran,Large,0,5,2018,,,
6,5/14/2018,Dipteran,Large,0,5,2018,,,
6,5/14/2018,Dipteran,Large,0,5,2018,,,
6,5/14/2018,Dipteran,Large,0,5,2018,,,
1,5/14/2018,Terrestrial,Large,4,5,2018,,,
1,5/14/2018,Terrestrial,Large,7,5,2018,,,
1,5/14/2018,Terrestrial,Large,1,5,2018,,,
1,5/14/2018,Terrestrial,Large,3,5,2018,,,
1,5/14/2018,Terrestrial,Large,3,5,2018,,,
1,5/14/2018,Terrestrial,Large,3,5,2018,,,
1,5/14/2018,Terrestrial,Large,2,5,2018,,,
1,5/14/2018,Terrestrial,Large,3,5,2018,,,
1,5/14/2018,Terrestrial,Large,3,5,2018,,,
1,5/14/2018,Terrestrial,Large,0,5,2018,,,
2,5/14/2018,Terrestrial,Large,0,5,2018,,,
2,5/14/2018,Terrestrial,Large,0,5,2018,,,
2,5/14/2018,Terrestrial,Large,0,5,2018,,,
2,5/14/2018,Terrestrial,Large,0,5,2018,,,
2,5/14/2018,Terrestrial,Large,0,5,2018,,,
2,5/14/2018,Terrestrial,Large,0,5,2018,,,
2,5/14/2018,Terrestrial,Large,0,5,2018,,,
2,5/14/2018,Terrestrial,Large,0,5,2018,,,
2,5/14/2018,Terrestrial,Large,0,5,2018,,,
2,5/14/2018,Terrestrial,Large,0,5,2018,,,
4,5/14/2018,Terrestrial,Large,1,5,2018,,,
4,5/14/2018,Terrestrial,Large,1,5,2018,,,
4,5/14/2018,Terrestrial,Large,1,5,2018,,,
4,5/14/2018,Terrestrial,Large,0,5,2018,,,
4,5/14/2018,Terrestrial,Large,0,5,2018,,,
4,5/14/2018,Terrestrial,Large,5,5,2018,,,
4,5/14/2018,Terrestrial,Large,0,5,2018,,,
4,5/14/2018,Terrestrial,Large,7,5,2018,,,
