"Watershed","date","invert","size","count_zero","month","year"
"1",2019-12-03,"Dipteran","Large",1,12,2019
"1",2019-12-03,"Dipteran","Large",1,12,2019
"1",2019-11-25,"Dipteran","Large",1,11,2019
"1",2019-11-25,"Dipteran","Large",0,11,2019
"1",2019-11-18,"Dipteran","Large",0,11,2019
"1",2019-11-18,"Dipteran","Large",0,11,2019
"1",2019-11-11,"Dipteran","Large",0,11,2019
"1",2019-11-11,"Dipteran","Large",0,11,2019
"1",2019-11-11,"Dipteran","Large",0,11,2019
"1",2019-11-11,"Dipteran","Large",1,11,2019
"1",2019-11-11,"Dipteran","Large",0,11,2019
"1",2019-11-11,"Dipteran","Large",0,11,2019
"1",2019-11-11,"Dipteran","Large",0,11,2019
"1",2019-11-11,"Dipteran","Large",0,11,2019
"1",2019-11-11,"Dipteran","Large",0,11,2019
"1",2019-11-11,"Dipteran","Large",1,11,2019
"1",2019-11-04,"Dipteran","Large",4,11,2019
"1",2019-11-04,"Dipteran","Large",1,11,2019
"1",2019-11-04,"Dipteran","Large",0,11,2019
"1",2019-11-04,"Dipteran","Large",2,11,2019
"1",2019-11-04,"Dipteran","Large",3,11,2019
"1",2019-11-04,"Dipteran","Large",4,11,2019
"1",2019-11-04,"Dipteran","Large",5,11,2019
"1",2019-11-04,"Dipteran","Large",1,11,2019
"1",2019-11-04,"Dipteran","Large",2,11,2019
"1",2019-11-04,"Dipteran","Large",0,11,2019
"1",2019-10-28,"Dipteran","Large",3,10,2019
"1",2019-10-28,"Dipteran","Large",5,10,2019
"1",2019-10-28,"Dipteran","Large",12,10,2019
"1",2019-10-28,"Dipteran","Large",3,10,2019
"1",2019-10-28,"Dipteran","Large",14,10,2019
"1",2019-10-28,"Dipteran","Large",11,10,2019
"1",2019-10-28,"Dipteran","Large",8,10,2019
"1",2019-10-28,"Dipteran","Large",5,10,2019
"1",2019-10-28,"Dipteran","Large",3,10,2019
"1",2019-10-28,"Dipteran","Large",14,10,2019
"1",2019-10-21,"Dipteran","Large",24,10,2019
"1",2019-10-21,"Dipteran","Large",5,10,2019
"1",2019-10-21,"Dipteran","Large",4,10,2019
"1",2019-10-21,"Dipteran","Large",3,10,2019
"1",2019-10-21,"Dipteran","Large",5,10,2019
"1",2019-10-21,"Dipteran","Large",17,10,2019
"1",2019-10-21,"Dipteran","Large",13,10,2019
"1",2019-10-21,"Dipteran","Large",4,10,2019
"1",2019-10-21,"Dipteran","Large",6,10,2019
"1",2019-10-21,"Dipteran","Large",16,10,2019
"1",2019-10-15,"Dipteran","Large",1,10,2019
"1",2019-10-15,"Dipteran","Large",1,10,2019
"1",2019-10-15,"Dipteran","Large",2,10,2019
"1",2019-10-15,"Dipteran","Large",0,10,2019
"1",2019-10-15,"Dipteran","Large",2,10,2019
"1",2019-10-15,"Dipteran","Large",0,10,2019
"1",2019-10-15,"Dipteran","Large",0,10,2019
"1",2019-10-15,"Dipteran","Large",4,10,2019
"1",2019-10-15,"Dipteran","Large",1,10,2019
"1",2019-10-15,"Dipteran","Large",0,10,2019
"1",2019-10-07,"Dipteran","Large",1,10,2019
"1",2019-10-07,"Dipteran","Large",0,10,2019
"1",2019-10-07,"Dipteran","Large",4,10,2019
"1",2019-10-07,"Dipteran","Large",2,10,2019
"1",2019-10-07,"Dipteran","Large",3,10,2019
"1",2019-10-07,"Dipteran","Large",1,10,2019
"1",2019-10-07,"Dipteran","Large",5,10,2019
"1",2019-10-07,"Dipteran","Large",1,10,2019
"1",2019-10-07,"Dipteran","Large",1,10,2019
"1",2019-10-07,"Dipteran","Large",2,10,2019
"1",2019-09-30,"Dipteran","Large",0,9,2019
"1",2019-09-30,"Dipteran","Large",1,9,2019
"1",2019-09-30,"Dipteran","Large",1,9,2019
"1",2019-09-30,"Dipteran","Large",0,9,2019
"1",2019-09-30,"Dipteran","Large",2,9,2019
"1",2019-09-30,"Dipteran","Large",0,9,2019
"1",2019-09-30,"Dipteran","Large",0,9,2019
"1",2019-09-30,"Dipteran","Large",0,9,2019
"1",2019-09-30,"Dipteran","Large",0,9,2019
"1",2019-09-30,"Dipteran","Large",1,9,2019
"1",2019-09-23,"Dipteran","Large",1,9,2019
"1",2019-09-23,"Dipteran","Large",3,9,2019
"1",2019-09-23,"Dipteran","Large",1,9,2019
"1",2019-09-23,"Dipteran","Large",0,9,2019
"1",2019-09-23,"Dipteran","Large",0,9,2019
"1",2019-09-23,"Dipteran","Large",0,9,2019
"1",2019-09-23,"Dipteran","Large",4,9,2019
"1",2019-09-23,"Dipteran","Large",0,9,2019
"1",2019-09-23,"Dipteran","Large",0,9,2019
"1",2019-09-23,"Dipteran","Large",0,9,2019
"1",2019-09-16,"Dipteran","Large",0,9,2019
"1",2019-09-16,"Dipteran","Large",2,9,2019
"1",2019-09-16,"Dipteran","Large",1,9,2019
"1",2019-09-16,"Dipteran","Large",2,9,2019
"1",2019-09-16,"Dipteran","Large",1,9,2019
"1",2019-09-16,"Dipteran","Large",0,9,2019
"1",2019-09-16,"Dipteran","Large",0,9,2019
"1",2019-09-16,"Dipteran","Large",0,9,2019
"1",2019-09-16,"Dipteran","Large",0,9,2019
"1",2019-09-16,"Dipteran","Large",1,9,2019
"1",2019-09-09,"Dipteran","Large",0,9,2019
"1",2019-09-09,"Dipteran","Large",0,9,2019
"1",2019-09-09,"Dipteran","Large",0,9,2019
"1",2019-09-09,"Dipteran","Large",0,9,2019
"1",2019-09-09,"Dipteran","Large",0,9,2019
"1",2019-09-09,"Dipteran","Large",1,9,2019
"1",2019-09-09,"Dipteran","Large",0,9,2019
"1",2019-09-09,"Dipteran","Large",0,9,2019
"1",2019-09-09,"Dipteran","Large",0,9,2019
"1",2019-09-09,"Dipteran","Large",0,9,2019
"1",2019-09-03,"Dipteran","Large",1,9,2019
"1",2019-09-03,"Dipteran","Large",0,9,2019
"1",2019-09-03,"Dipteran","Large",0,9,2019
"1",2019-09-03,"Dipteran","Large",2,9,2019
"1",2019-09-03,"Dipteran","Large",0,9,2019
"1",2019-09-03,"Dipteran","Large",0,9,2019
"1",2019-09-03,"Dipteran","Large",0,9,2019
"1",2019-09-03,"Dipteran","Large",0,9,2019
"1",2019-09-03,"Dipteran","Large",0,9,2019
"1",2019-09-03,"Dipteran","Large",0,9,2019
"1",2019-08-26,"Dipteran","Large",0,8,2019
"1",2019-08-26,"Dipteran","Large",0,8,2019
"1",2019-08-26,"Dipteran","Large",0,8,2019
"1",2019-08-26,"Dipteran","Large",0,8,2019
"1",2019-08-26,"Dipteran","Large",0,8,2019
"1",2019-08-26,"Dipteran","Large",0,8,2019
"1",2019-08-26,"Dipteran","Large",0,8,2019
"1",2019-08-26,"Dipteran","Large",1,8,2019
"1",2019-08-26,"Dipteran","Large",0,8,2019
"1",2019-08-26,"Dipteran","Large",0,8,2019
"1",2019-08-19,"Dipteran","Large",1,8,2019
"1",2019-08-19,"Dipteran","Large",0,8,2019
"1",2019-08-19,"Dipteran","Large",0,8,2019
"1",2019-08-19,"Dipteran","Large",1,8,2019
"1",2019-08-19,"Dipteran","Large",1,8,2019
"1",2019-08-19,"Dipteran","Large",0,8,2019
"1",2019-08-19,"Dipteran","Large",0,8,2019
"1",2019-08-19,"Dipteran","Large",1,8,2019
"1",2019-08-19,"Dipteran","Large",0,8,2019
"1",2019-08-19,"Dipteran","Large",1,8,2019
"1",2019-08-12,"Dipteran","Large",0,8,2019
"1",2019-08-12,"Dipteran","Large",0,8,2019
"1",2019-08-12,"Dipteran","Large",0,8,2019
"1",2019-08-12,"Dipteran","Large",1,8,2019
"1",2019-08-12,"Dipteran","Large",0,8,2019
"1",2019-08-12,"Dipteran","Large",0,8,2019
"1",2019-08-12,"Dipteran","Large",0,8,2019
"1",2019-08-12,"Dipteran","Large",0,8,2019
"1",2019-08-12,"Dipteran","Large",0,8,2019
"1",2019-08-12,"Dipteran","Large",2,8,2019
"1",2019-08-05,"Dipteran","Large",0,8,2019
"1",2019-08-05,"Dipteran","Large",0,8,2019
"1",2019-08-05,"Dipteran","Large",0,8,2019
"1",2019-08-05,"Dipteran","Large",0,8,2019
"1",2019-08-05,"Dipteran","Large",0,8,2019
"1",2019-08-05,"Dipteran","Large",0,8,2019
"1",2019-08-05,"Dipteran","Large",0,8,2019
"1",2019-08-05,"Dipteran","Large",1,8,2019
"1",2019-08-05,"Dipteran","Large",0,8,2019
"1",2019-08-05,"Dipteran","Large",2,8,2019
"1",2019-07-29,"Dipteran","Large",0,7,2019
"1",2019-07-29,"Dipteran","Large",1,7,2019
"1",2019-07-29,"Dipteran","Large",3,7,2019
"1",2019-07-29,"Dipteran","Large",2,7,2019
"1",2019-07-29,"Dipteran","Large",2,7,2019
"1",2019-07-29,"Dipteran","Large",3,7,2019
"1",2019-07-29,"Dipteran","Large",3,7,2019
"1",2019-07-29,"Dipteran","Large",1,7,2019
"1",2019-07-29,"Dipteran","Large",3,7,2019
"1",2019-07-29,"Dipteran","Large",5,7,2019
"1",2019-07-22,"Dipteran","Large",2,7,2019
"1",2019-07-22,"Dipteran","Large",0,7,2019
"1",2019-07-22,"Dipteran","Large",2,7,2019
"1",2019-07-22,"Dipteran","Large",3,7,2019
"1",2019-07-22,"Dipteran","Large",0,7,2019
"1",2019-07-22,"Dipteran","Large",0,7,2019
"1",2019-07-22,"Dipteran","Large",0,7,2019
"1",2019-07-22,"Dipteran","Large",1,7,2019
"1",2019-07-22,"Dipteran","Large",0,7,2019
"1",2019-07-22,"Dipteran","Large",1,7,2019
"1",2019-07-15,"Dipteran","Large",4,7,2019
"1",2019-07-15,"Dipteran","Large",0,7,2019
"1",2019-07-15,"Dipteran","Large",4,7,2019
"1",2019-07-15,"Dipteran","Large",0,7,2019
"1",2019-07-15,"Dipteran","Large",1,7,2019
"1",2019-07-15,"Dipteran","Large",6,7,2019
"1",2019-07-15,"Dipteran","Large",1,7,2019
"1",2019-07-15,"Dipteran","Large",4,7,2019
"1",2019-07-15,"Dipteran","Large",2,7,2019
"1",2019-07-15,"Dipteran","Large",4,7,2019
"1",2019-07-08,"Dipteran","Large",2,7,2019
"1",2019-07-08,"Dipteran","Large",1,7,2019
"1",2019-07-08,"Dipteran","Large",1,7,2019
