"Sample","Watershed","Date","Dipteran_Large","Terrestrial_Large","Caddisfly_Large","Mayfly_Large","Stonefly_Large","Other_Large","Dipteran_Small","Terrestrial_Small","Other_Small"
"1","1","5/14/2018",0,4,0,0,0,0,0,0,0
"2","1","5/14/2018",0,7,0,0,0,0,48,28,0
"3","1","5/14/2018",0,1,0,0,0,0,0,0,0
"4","1","5/14/2018",0,3,0,0,0,0,45,15,0
"5","1","5/14/2018",1,3,0,0,0,0,0,0,0
"6","1","5/14/2018",1,3,0,0,1,0,0,0,0
"7","1","5/14/2018",0,2,0,0,0,0,54,34,0
"8","1","5/14/2018",4,3,0,0,0,0,0,0,0
"9","1","5/14/2018",2,3,1,0,0,0,0,0,0
"10","1","5/14/2018",0,0,0,0,0,0,47,15,0
"1","1","5/21/2018",2,1,1,0,0,0,85,4,0
"2","1","5/21/2018",1,0,1,0,0,0,0,0,0
"3","1","5/21/2018",0,1,0,0,0,0,57,6,0
"4","1","5/21/2018",3,0,0,0,0,0,0,0,0
"5","1","5/21/2018",2,3,0,0,0,0,0,0,0
"6","1","5/21/2018",1,1,0,0,0,0,0,0,0
"7","1","5/21/2018",1,4,0,0,2,0,0,0,0
"8","1","5/21/2018",1,6,0,0,0,0,0,0,0
"9","1","5/21/2018",4,1,0,0,0,0,30,4,0
"10","1","5/21/2018",2,3,0,0,0,0,34,10,0
"1","1","5/29/2018",4,6,1,0,1,0,0,0,0
"2","1","5/29/2018",0,1,2,0,2,0,0,0,0
"3","1","5/29/2018",4,5,0,0,2,0,0,0,0
"4","1","5/29/2018",2,0,0,0,2,0,25,2,0
"5","1","5/29/2018",3,3,1,0,0,0,70,3,0
"6","1","5/29/2018",1,2,0,0,4,0,44,5,0
"7","1","5/29/2018",2,7,0,0,1,0,0,0,0
"8","1","5/29/2018",1,3,4,0,1,0,0,0,0
"9","1","5/29/2018",0,6,0,0,1,0,41,5,0
"10","1","5/29/2018",1,4,0,0,0,0,0,0,0
"1","1","6/4/2018",1,1,0,0,0,0,0,0,0
"2","1","6/4/2018",1,1,0,0,2,0,14,5,0
"3","1","6/4/2018",1,2,0,0,2,0,0,0,0
"4","1","6/4/2018",7,7,2,0,0,0,37,6,0
"5","1","6/4/2018",3,3,0,0,0,0,0,0,0
"6","1","6/4/2018",0,3,1,0,1,0,25,4,0
"7","1","6/4/2018",1,2,0,0,2,0,0,0,0
"8","1","6/4/2018",2,2,0,0,1,0,36,0,0
"9","1","6/4/2018",0,2,3,0,1,0,0,0,0
"10","1","6/4/2018",2,3,0,0,0,0,0,0,0
"","1","6/4/2018",0,0,0,0,0,0,0,0,0
"1","1","6/11/2018",0,1,0,0,1,0,0,0,0
"2","1","6/11/2018",1,1,0,0,1,0,0,0,0
"3","1","6/11/2018",0,0,0,0,0,0,21,9,0
"4","1","6/11/2018",2,3,0,0,0,0,0,0,0
"5","1","6/11/2018",2,1,0,0,0,0,28,3,0
"6","1","6/11/2018",3,4,0,0,0,0,43,11,0
"7","1","6/11/2018",4,1,1,0,0,0,28,8,0
"8","1","6/11/2018",6,3,0,0,0,0,0,0,0
"9","1","6/11/2018",2,3,0,0,0,0,0,0,0
"10","1","6/11/2018",2,0,0,0,0,0,0,0,0
"1","1","6/18/2018",0,4,0,0,1,0,0,0,0
"2","1","6/18/2018",1,14,0,0,1,0,41,15,0
"3","1","6/18/2018",2,10,1,0,1,0,0,0,0
"4","1","6/18/2018",2,5,0,0,1,0,24,17,0
"5","1","6/18/2018",2,9,1,0,2,0,0,0,0
"6","1","6/18/2018",3,6,0,0,2,0,0,0,0
"7","1","6/18/2018",0,9,0,0,1,0,0,0,0
"8","1","6/18/2018",1,8,0,0,0,0,0,0,0
"9","1","6/18/2018",1,5,0,0,2,0,8,8,0
"10","1","6/18/2018",1,3,0,0,1,0,19,9,0
"1","1","6/25/2018",0,4,3,0,0,0,8,15,0
"2","1","6/25/2018",1,9,2,0,4,0,0,0,0
"3","1","6/25/2018",3,7,1,0,1,0,0,0,0
"4","1","6/25/2018",0,2,1,0,0,0,12,12,0
"5","1","6/25/2018",2,8,0,0,1,0,49,10,0
"6","1","6/25/2018",2,7,3,0,3,0,0,0,0
"7","1","6/25/2018",2,7,0,0,0,0,43,10,0
"8","1","6/25/2018",0,2,0,0,2,0,47,8,0
"9","1","6/25/2018",0,4,0,0,0,0,0,0,0
"10","1","6/25/2018",0,3,0,0,0,0,0,0,0
"1","1","7/16/2018",3,8,1,0,0,0,18,0,0
"2","1","7/16/2018",0,7,0,0,0,0,7,4,0
"3","1","7/16/2018",2,5,0,0,0,0,0,0,0
"4","1","7/16/2018",4,10,0,0,2,0,0,0,0
"5","1","7/16/2018",1,19,2,0,0,0,6,20,0
"6","1","7/16/2018",3,19,3,0,0,0,0,0,0
"7","1","7/16/2018",1,6,0,0,0,0,0,0,0
"8","1","7/16/2018",0,3,0,0,0,0,0,0,0
"9","1","7/16/2018",3,25,0,0,1,0,0,0,0
"10","1","7/16/2018",1,2,0,0,0,0,8,1,0
"1","1","7/23/2018",1,25,0,0,0,0,0,0,0
"2","1","7/23/2018",1,10,0,0,0,0,8,2,0
"3","1","7/23/2018",1,12,0,0,0,0,4,6,0
"4","1","7/23/2018",0,5,0,0,1,0,0,0,0
"5","1","7/23/2018",1,2,0,0,0,0,0,0,0
"6","1","7/23/2018",1,15,0,0,0,0,0,0,0
"7","1","7/23/2018",1,14,0,0,0,0,0,0,0
"8","1","7/23/2018",1,17,0,0,1,0,0,0,0
"9","1","7/23/2018",2,13,0,0,0,0,12,3,0
"10","1","7/23/2018",0,5,0,0,0,0,14,10,0
"3","1","8/6/2018",0,0,0,0,0,0,2,0,0
"4","1","8/6/2018",1,5,0,0,0,0,10,1,0
"7","1","8/6/2018",0,4,0,0,0,0,3,1,0
"8","1","8/6/2018",0,0,0,0,0,0,8,0,0
"1","1","8/6/2018",0,2,0,0,0,0,0,0,0
