SITE,DATE,Date,WEIR-REP,Watershed,Sample,,Sample Location 
Hubbard Brook ,3/25/2019,3/25/2019,HBK-01,hbk,,NS,
Hubbard Brook ,4/1/2019,4/1/2019,HBK-01,hbk,,NS,
Hubbard Brook ,4/8/2019,4/8/2019,HBK-01,hbk,,NS,
Hubbard Brook ,4/15/2019,4/15/2019,HBK-01,hbk,ST190116,,
Hubbard Brook ,4/22/2019,4/22/2019,HBK-01,hbk,,NS,
Hubbard Brook ,4/29/2019,4/29/2019,HBK-01,hbk,ST190196,,
Hubbard Brook ,5/6/2019,5/6/2019,HBK-01,hbk,ST190236,,
Hubbard Brook ,5/13/2019,5/13/2019,HBK-01,hbk,ST190276,,
Hubbard Brook ,5/20/2019,5/20/2019,HBK-01,hbk,ST190316,,
Hubbard Brook ,5/28/2019,5/28/2019,HBK-01,hbk,ST190356,,
Hubbard Brook ,6/2/2019,6/2/2019,HBK-01,hbk,ST190396,,
Hubbard Brook ,6/10/2019,6/10/2019,HBK-01,hbk,ST190436,,
Hubbard Brook ,6/17/2019,6/17/2019,HBK-01,hbk,ST190476,,
Hubbard Brook ,6/24/2019,6/24/2019,HBK-01,hbk,ST190516,,
Hubbard Brook ,7/1/2019,7/1/2019,HBK-01,hbk,ST190556,,
Hubbard Brook ,7/8/2019,7/8/2019,HBK-01,hbk,ST190596,,
Hubbard Brook ,7/15/2019,7/15/2019,HBK-01,hbk,ST190636,,
Hubbard Brook ,7/22/2019,7/22/2019,HBK-01,hbk,ST190676,,
Hubbard Brook ,7/29/2019,7/29/2019,HBK-01,hbk,ST190716,,
Hubbard Brook ,8/5/2019,8/5/2019,HBK-01,hbk,ST190756,,
Hubbard Brook ,8/12/2019,8/12/2019,HBK-01,hbk,ST190796,,
Hubbard Brook ,8/19/2019,8/19/2019,HBK-01,hbk,ST190836,,
Hubbard Brook ,8/26/2019,8/26/2019,HBK-01,hbk,ST190876,,
Hubbard Brook ,9/3/2019,9/3/2019,HBK-01,hbk,ST190916,,
Hubbard Brook ,9/9/2019,9/9/2019,HBK-01,hbk,ST190956,,
Hubbard Brook ,9/16/2019,9/16/2019,HBK-01,hbk,ST191996,,
Hubbard Brook ,9/23/2019,9/23/2019,HBK-01,hbk,ST191036,,
