Sample #,WS,Date,Side,Watershed,Date,Dipteran,Terrestrial,Caddisfly,Mayfly,Stonefly,Other,Dipteran,Terr,Caddisfly,Other
1,1,5/14/2018,,1,5/14/2018,,4,,,,,,,,
2,1,5/14/2018,,1,5/14/2018,,7,,,,,48,28,,
3,1,5/14/2018,,1,5/14/2018,,1,,,,,,,,
4,1,5/14/2018,,1,5/14/2018,,3,,,,,45,15,,
5,1,5/14/2018,,1,5/14/2018,1,3,,,,,,,,
6,1,5/14/2018,,1,5/14/2018,1,3,,,1,,,,,
7,1,5/14/2018,,1,5/14/2018,,2,,,,,54,34,,
8,1,5/14/2018,,1,5/14/2018,4,3,,,,,,,,
9,1,5/14/2018,,1,5/14/2018,2,3,1,,,,,,,
10,1,5/14/2018,,1,5/14/2018,,,,,,,47,15,,
1,1,5/21/2018,,1,5/21/2018,2,1,1,,,,85,4,,
2,1,5/21/2018,,1,5/21/2018,1,,1,,,,,,,
3,1,5/21/2018,,1,5/21/2018,,1,,,,,57,6,,
4,1,5/21/2018,,1,5/21/2018,3,,,,,,,,,
5,1,5/21/2018,,1,5/21/2018,2,3,,,,,,,,
6,1,5/21/2018,,1,5/21/2018,1,1,,,,,,,,
7,1,5/21/2018,,1,5/21/2018,1,4,,,2,,,,,
8,1,5/21/2018,,1,5/21/2018,1,6,,,,,,,,
9,1,5/21/2018,,1,5/21/2018,4,1,,,,,30,4,,
10,1,5/21/2018,,1,5/21/2018,2,3,,,,,34,10,,
1,1,5/29/2018,,1,5/29/2018,4,6,1,,1,,,,,
2,1,5/29/2018,,1,5/29/2018,,1,2,,2,,,,,
3,1,5/29/2018,,1,5/29/2018,4,5,,,2,,,,,
4,1,5/29/2018,,1,5/29/2018,2,,,,2,,25,2,,
5,1,5/29/2018,,1,5/29/2018,3,3,1,,,,70,3,,
6,1,5/29/2018,,1,5/29/2018,1,2,,,4,,44,5,,
7,1,5/29/2018,,1,5/29/2018,2,7,,,1,,,,,
8,1,5/29/2018,,1,5/29/2018,1,3,4,,1,,,,,
9,1,5/29/2018,,1,5/29/2018,,6,,,1,,41,5,,
10,1,5/29/2018,,1,5/29/2018,1,4,,,,,,,,
1,1,6/4/2018,,1,6/4/2018,1,1,,,,,,,,
2,1,6/4/2018,,1,6/4/2018,1,1,,,2,,14,5,,
3,1,6/4/2018,,1,6/4/2018,1,2,,,2,,,,,
4,1,6/4/2018,,1,6/4/2018,7,7,2,,,,37,6,,
5,1,6/4/2018,,1,6/4/2018,3,3,,,,,,,,
6,1,6/4/2018,,1,6/4/2018,,3,1,,1,,25,4,,
7,1,6/4/2018,,1,6/4/2018,1,2,,,2,,,,,
8,1,6/4/2018,,1,6/4/2018,2,2,,,1,,36,,,
9,1,6/4/2018,,1,6/4/2018,,2,3,,1,,,,,
10,1,6/4/2018,,1,6/4/2018,2,3,,,,,,,,
,1,6/4/2018,,1,6/4/2018,,,,,,,,,,
1,1,6/11/2018,,1,6/11/2018,,1,,,1,,,,,
2,1,6/11/2018,,1,6/11/2018,1,1,,,1,,,,,
3,1,6/11/2018,,1,6/11/2018,,,,,,,21,9,,
4,1,6/11/2018,,1,6/11/2018,2,3,,,,,,,,
5,1,6/11/2018,,1,6/11/2018,2,1,,,,,28,3,,
6,1,6/11/2018,,1,6/11/2018,3,4,,,,,43,11,,
7,1,6/11/2018,,1,6/11/2018,4,1,1,,,,28,8,,
8,1,6/11/2018,,1,6/11/2018,6,3,,,,,,,,
9,1,6/11/2018,,1,6/11/2018,2,3,,,,,,,,
10,1,6/11/2018,,1,6/11/2018,2,,,,,,,,,
1,1,6/18/2018,,1,6/18/2018,,4,,,1,,,,,
2,1,6/18/2018,,1,6/18/2018,1,14,,,1,,41,15,1,
3,1,6/18/2018,,1,6/18/2018,2,10,1,,1,,,,,
4,1,6/18/2018,,1,6/18/2018,2,5,,,1,,24,17,,
5,1,6/18/2018,,1,6/18/2018,2,9,1,,2,,,,,
6,1,6/18/2018,,1,6/18/2018,3,6,,,2,,,,,
7,1,6/18/2018,,1,6/18/2018,,9,,,1,,,,,
8,1,6/18/2018,,1,6/18/2018,1,8,,,,,,,,
9,1,6/18/2018,,1,6/18/2018,1,5,,,2,,8,8,,
10,1,6/18/2018,,1,6/18/2018,1,3,,,1,,19,9,,
1,1,6/25/2018,,1,25-Jun,,4,3,,,,8,15,,
2,1,6/25/2018,,1,25-Jun,1,9,2,,4,,,,,
3,1,6/25/2018,,1,25-Jun,3,7,1,,1,,,,,
4,1,6/25/2018,,1,25-Jun,,2,1,,,,12,12,,
