Sample ID,y-m-d,Side,Watershed,m/d/y,Dipteran,Terrestrial,Caddisfly,Mayfly,Stonefly,Other,Dipteran,Terrestrial,Caddisfly,Other,
ST190291,5/20/2020,A,2,5/20/2020,4,1,,,,1,158,,,7,
ST190206,5/6/2020,A,2,5/6/2020,1,,,,,1,9,,,,
ST190206,5/6/2020,B,2,5/6/2020,7,4,,,,,13,,,4,
ST190207,5/6/2020,A,2,5/6/2020,14,,,,,,17,,,3,
ST190207,5/6/2020,B,2,5/6/2020,15,,,,,,25,1,,,
ST190208,5/6/2020,A,2,5/6/2020,1,2,,,,1,5,1,,3,
ST190208,5/6/2020,B,2,5/6/2020,2,3,,,,,14,,,1,
ST190209,5/6/2020,A,2,5/6/2020,6,,,,,,13,,,1,
ST190209,5/6/2020,B,2,5/6/2020,1,1,,,,,12,,,,
ST190210,5/6/2020,A,2,5/6/2020,2,,,,,,6,,,1,
ST190210,5/6/2020,B,2,5/6/2020,4,1,,,1,,15,,,3,
ST190846,8/26/2019,A,2,8/26/2019,1,1,,,,2,13,4,1,,
ST190846,8/26/2019,B,2,8/26/2019,,3,,,,,10,2,,,
ST190847,8/26/2019,A,2,8/26/2019,,1,,,2,,16,4,,,
ST190847,8/26/2019,B,2,8/26/2019,2,1,,,,2,22,4,,,
ST190848,8/26/2019,A,2,8/26/2019,,1,,,,1,6,4,,,
ST190848,8/26/2019,B,2,8/26/2019,,1,,,,,29,2,,,
ST190849,8/26/2019,A,2,8/26/2019,,4,,,,,8,3,,,
ST190849,8/26/2019,B,2,8/26/2019,,2,,,,1,15,,,,
ST190850,8/26/2019,A,2,8/26/2019,,,1,,,2,20,1,,,
ST190850,8/26/2019,B,2,8/26/2019,,3,1,,,,12,1,,1,
ST190806,8/19/2019,A,2,8/19/2019,,,,,,1,31,5,1,1,
ST190806,8/19/2019,B,2,8/19/2019,1,4,,,,,7,8,,,
ST190807,8/19/2019,A,2,8/19/2019,,4,,,,,17,3,,,
ST190807,8/19/2019,B,2,8/19/2019,,3,1,,,,13,3,,,
ST190808,8/19/2019,A,2,8/19/2019,1,5,1,,1,1,13,6,,2,
