Sample ID,Trap #,Date,Watershed,Date,Dipteran,Terrestrial,Caddisfly,Mayfly,Stonefly,Other,Dipteran,Terrestrial,,Other
ST190016,A,3/25/2019,3,3/25/2019,1,,,,,,,,,
ST190016,B,3/25/2019,3,3/25/2019,0,,,,,,,,,
ST190096,A,4/15/2019,3,4/15/2019,1,,,,,,,,,
ST190096,B,4/15/2019,3,4/15/2019,0,,,,,,,,,
ST190176,A,4/29/2019,3,4/29/2019,5,1,,,,,3,,,3
ST190176,B,4/29/2019,3,4/29/2019,1,,,,,,1,,,
ST190177,A,4/29/2019,3,4/29/2019,,,,,,,,,,
ST190177,B,4/29/2019,3,4/29/2019,,,,,,,,,,
ST190178,A,4/29/2019,2,4/29/2019,,,,,,,,,,
ST190178,B,4/29/2019,3,4/29/2019,,,,,,,,,,
ST190179,A,4/29/2019,3,4/29/2019,,,,,,,,,,
ST190179,B,4/29/2019,3,4/29/2019,,,,,,,,,,
ST190180,A,4/29/2019,3,4/29/2019,,,,,,,,,,
ST190180,B,4/29/2019,3,4/29/2019,,,,,,,,,,
1,A,4/8/2019,3,4/8/2019,2,,,,,,,,,
2,B,4/8/2019,3,4/8/2019,2,,,,,,,,,
ST190371,A,6/2/2019,3,6/2/2019,6,1,,,1,2,71,,,5
ST190371,B,6/2/2019,3,6/2/2019,,,,,,2,64,,,4
ST190372,A,6/2/2019,3,6/2/2019,12,4,,,,3,82,1,,2
ST190372,B,6/2/2019,3,6/2/2019,7,4,,,,,55,,,1
ST190373,A,6/2/2019,3,6/2/2019,3,1,,,,,65,,,4
ST190373,B,6/2/2019,3,6/2/2019,4,4,,,,1,91,,,1
ST190374,A,6/2/2019,3,6/2/2019,4,,1,,,,72,,,
ST190374,B,6/2/2019,3,6/2/2019,6,1,,,,,61,,,
ST190375,A,6/2/2019,3,6/2/2019,16,2,,,,,59,,,4
ST190375,B,6/2/2019,3,6/2/2019,18,,,,,,78,,,1
ST190411,A,6/10/2019,3,6/10/2019,15,15,5,1,2,5,178,2,,14
ST190411,B,6/10/2019,3,6/10/2019,15,14,1,,1,9,105,,,1
ST190412,A,6/10/2019,3,6/10/2019,18,8,1,,1,21,213,,,5
ST190412,B,6/10/2019,3,6/10/2019,7,11,,,2,17,242,,,4
ST190413,A,6/10/2019,3,6/10/2019,10,10,3,,1,6,298,,,9
ST190413,B,6/10/2019,3,6/10/2019,10,18,5,,5,7,139,,,9
ST190414,A,6/10/2019,3,6/10/2019,8,19,2,,1,9,230,,,5
