Sample ID,Date,Side,Watershed,Date,Dipteran,Terrestrial,Caddisfly,Mayfly,Stonefly,Other,Dipteran,Terrestrial,Caddisfly,Other
1,5/14/2018,,4,5/14/2018,3,1,,,,1,90,,,5
2,5/14/2018,,4,5/14/2018,,1,,,,,53,,,2
3,5/14/2018,,4,5/14/2018,,1,,,,3,82,,,1
4,5/14/2018,,4,5/14/2018,1,,,,,2,24,,,5
5,5/14/2018,,4,5/14/2018,,,,,,,9,,,1
6,5/14/2018,,4,5/14/2018,,5,,,,2,20,,,1
7,5/14/2018,,4,5/14/2018,,,,,,,6,,,2
8,5/14/2018,,4,5/14/2018,5,7,,,,,127,,,10
9,5/14/2018,,4,5/14/2018,,2,,,,`1,50,,,6
10,5/14/2018,,4,5/14/2018,,,,,,2,135,,,6
1,5/21/2018,,4,5/21/2018,2,,,,,3,96,,,
2,5/21/2018,,4,5/21/2018,5,,,,,1,39,,,3
3,5/21/2018,,4,5/21/2018,2,,,,1,,16,,,2
4,5/21/2018,,4,5/21/2018,4,,,,,1,33,,,2
5,5/21/2018,,4,5/21/2018,2,,,,,3,46,,,6
6,5/21/2018,,4,5/21/2018,7,,,,,5,56,,,5
7,5/21/2018,,4,5/21/2018,,,,,,5,57,4,,11
8,5/21/2018,,4,5/21/2018,,,,,2,,54,5,,9
9,5/21/2018,,4,5/21/2018,,,,,,1,39,,,9
10,5/21/2018,,4,5/21/2018,1,,,,,3,58,,,11
1,5/29/2018,,4,5/29/2018,,,,,,9,100,2,,9
2,5/29/2018,,4,5/29/2018,,2,,,3,3,106,,,5
3,5/29/2018,,4,5/29/2018,2,,,,2,7,75,,,9
4,5/29/2018,,4,5/29/2018,,,,,,10,209,,,6
5,5/29/2018,,4,5/29/2018,,2,,,1,10,49,3,,
6,5/29/2018,,4,5/29/2018,1,1,,,,10,80,3,,5
7,5/29/2018,,4,5/29/2018,2,,2,,4,2,182,,,6
8,5/29/2018,,4,5/29/2018,1,3,,,1,9,97,,,
9,5/29/2018,,4,5/29/2018,,1,,,,5,49,,,7
10,5/29/2018,,4,5/29/2018,2,,,,1,4,112,,,22
1,6/4/2018,,4,6/4/2018,,,,,,,,,,
2,6/4/2018,,4,6/4/2018,,,,,,,,,,
3,6/4/2018,,4,6/4/2018,,,,,,,,,,
4,6/4/2018,,4,6/4/2018,,,,,,,,,,
5,6/4/2018,,4,6/4/2018,,,,,,,,,,
6,6/4/2018,,4,6/4/2018,,,,,,,,,,
7,6/4/2018,,4,6/4/2018,,,,,,,,,,
8,6/4/2018,,4,6/4/2018,,,,,,,,,,
9,6/4/2018,,4,6/4/2018,,,,,,,,,,
10,6/4/2018,,4,6/4/2018,,,,,,,,,,
1,6/11/2018,,4,6/11/2018,,,,,,,,,,
2,6/11/2018,,4,6/11/2018,,,,,,,,,,
3,6/11/2018,,4,6/11/2018,,,,,,,,,,
4,6/11/2018,,4,6/11/2018,,,,,,,,,,
5,6/11/2018,,4,6/11/2018,,,,,,,,,,
6,6/11/2018,,4,6/11/2018,,,,,,,,,,
7,6/11/2018,,4,6/11/2018,,,,,,,,,,
