Sample ID #,Date,Side,Watershed,Date,Dipteran,Terrestrial,Caddisfly,Mayfly,Stonefly,Other,Dipteran,Terrestrial,Caddisfly,Other
1,5/14/2018,,6,5/14/2018,,,,,,,45,,,
2,5/14/2018,,6,5/14/2018,,,,,,2,44,,,4
3,5/14/2018,,6,5/14/2018,,2,,,,4,41,,,8
4,5/14/2018,,6,5/14/2018,,,,,,3,26,,,10
5,5/14/2018,,6,5/14/2018,3,,,,,,43,,,8
6,5/14/2018,,6,5/14/2018,4,,,,,3,207,,,10
7,5/14/2018,,6,5/14/2018,,,,,,,57,,,6
8,5/14/2018,,6,5/14/2018,,,,,,,65,,,13
9,5/14/2018,,6,5/14/2018,,,,,,,272,,,14
10,5/14/2018,,6,5/14/2018,,,,,,2,42,,,9
1,5/21/2018,,6,5/21/2018,4,,,,,2,73,,,
2,5/21/2018,,6,5/21/2018,,,,,,,26,,,1
3,5/21/2018,,6,5/21/2018,,,,,,,42,,,1
4,5/21/2018,,6,5/21/2018,,,,,,1,28,,,1
5,5/21/2018,,6,5/21/2018,,1,,,,1,18,,,
6,5/21/2018,,6,5/21/2018,3,,,,,2,,,,5
7,5/21/2018,,6,5/21/2018,,,,,1,3,73,,,1
8,5/21/2018,,6,5/21/2018,1,,,,,4,32,,,4
9,5/21/2018,,6,5/21/2018,1,,,,,1,30,,,6
10,5/21/2018,,6,5/21/2018,,,,,1,2,64,,,4
1,5/29/2018,,6,5/29/2018,,,,,1,2,56,,,6
2,5/29/2018,,6,5/29/2018,1,,,,1,2,74,,,
3,5/29/2018,,6,5/29/2018,2,,,,1,2,30,,,
4,5/29/2018,,6,5/29/2018,,,,,,2,35,,,2
5,5/29/2018,,6,5/29/2018,2,1,,,,2,65,,,1
6,5/29/2018,,6,5/29/2018,,,,,,1,30,,,4
7,5/29/2018,,6,5/29/2018,,,,,,3,76,,,7
8,5/29/2018,,6,5/29/2018,,,,,,,20,,,2
9,5/29/2018,,6,5/29/2018,1,,,,,4,57,,,
10,5/29/2018,,6,5/29/2018,2,,,,,1,22,,,3
1,6/4/2018,,6,6/4/2018,,1,,,,3,23,,,3
2,6/4/2018,,6,6/4/2018,1,,,,,1,28,,,5
3,6/4/2018,,6,6/4/2018,3,,,,,23,15,,,5
4,6/4/2018,,6,6/4/2018,,1,,,,1,16,,,
5,6/4/2018,,6,6/4/2018,2,,,,1,5,59,,,6
6,6/4/2018,,6,6/4/2018,,,,,,,17,1,,2
7,6/4/2018,,6,6/4/2018,2,,,,,4,41,,,4
8,6/4/2018,,6,6/4/2018,1,,,,2,,66,,,3
9,6/4/2018,,6,6/4/2018,2,,,,,,22,,,1
10,6/4/2018,,6,6/4/2018,,,,,1,,31,1,,
1,6/11/2018,,6,6/11/2018,2,,,,1,3,15,,,4
2,6/11/2018,,6,6/11/2018,1,1,,,,1,28,1,,6
3,6/11/2018,,6,6/11/2018,1,1,,,1,4,42,1,,11
4,6/11/2018,,6,6/11/2018,,,,,,,18,1,,1
5,6/11/2018,,6,6/11/2018,1,,,,,,18,,,
6,6/11/2018,,6,6/11/2018,,,,,,,24,,,4
7,6/11/2018,,6,6/11/2018,,,,,,,87,5,,9
8,6/11/2018,,6,6/11/2018,2,,,,,,14,,,1
9,6/11/2018,,6,6/11/2018,,,,,,,36,,,1
10,6/11/2018,,6,6/11/2018,,,,,,4,78,,,2
1,6/18/2018,,6,6/18/2018,,1,,,1,5,19,1,,11
2,6/18/2018,,6,6/18/2018,4,1,,,,2,47,1,,10
3,6/18/2018,,6,6/18/2018,5,,,,1,4,19,3,,10
4,6/18/2018,,6,6/18/2018,2,,,,2,3,52,,,25
5,6/18/2018,,6,6/18/2018,,,,,,,32,2,,14
6,6/18/2018,,6,6/18/2018,6,,,,1,4,30,,,14
7,6/18/2018,,6,6/18/2018,,2,,,,5,32,1,,6
8,6/18/2018,,6,6/18/2018,1,,,,5,5,25,7,,12
9,6/18/2018,,6,6/18/2018,1,1,,,,8,5,2,,8
10,6/18/2018,,6,6/18/2018,3,1,,,,8,11,,,11
1,6/25/2018,,6,6/25/2018,1,,,,,,38,,,15
2,6/25/2018,,6,6/25/2018,1,,,,1,2,25,,,7
3,6/25/2018,,6,6/25/2018,1,,,,,2,24,3,,6
4,6/25/2018,,6,6/25/2018,2,,,,1,,25,,,15
5,6/25/2018,,6,6/25/2018,,,4,,2,3,61,,,10
6,6/25/2018,,6,6/25/2018,2,,,,,2,27,1,,3
7,6/25/2018,,6,6/25/2018,2,,,,,2,14,2,,3
8,6/25/2018,,6,6/25/2018,2,,,,1,3,22,,,3
9,6/25/2018,,6,6/25/2018,2,,,,,4,18,,,7
10,6/25/2018,,6,6/25/2018,3,1,2,,1,2,22,,,14
1,7/2/2018,,6,7/2/2018,,,,,,2,15,,,3
2,7/2/2018,,6,7/2/2018,3,,,,,,34,,,4
3,7/2/2018,,6,7/2/2018,,1,1,,,,35,,,10
4,7/2/2018,,6,7/2/2018,5,,,,,,36,,,
5,7/2/2018,,6,7/2/2018,2,,1,,,4,31,,,13
6,7/2/2018,,6,7/2/2018,4,,1,,,,30,,,4
7,7/2/2018,,6,7/2/2018,3,,2,,1,1,22,,,4
8,7/2/2018,,6,7/2/2018,,,2,,,3,14,,,3
9,7/2/2018,,6,7/2/2018,4,,,,,1,29,,,7
10,7/2/2018,,6,7/2/2018,1,,,,,2,19,,,4
1,7/9/2018,,6,7/9/2018,2,,,,1,4,23,,,6
2,7/9/2018,,6,7/9/2018,,,4,,,4,26,,,9
3,7/9/2018,,6,7/9/2018,1,,,,,4,13,,,
4,7/9/2018,,6,7/9/2018,5,,,,,6,12,,,6
5,7/9/2018,,6,7/9/2018,2,,,,1,1,18,,,12
6,7/9/2018,,6,7/9/2018,2,,,,1,1,25,,,13
7,7/9/2018,,6,7/9/2018,3,,1,,,4,21,,,8
8,7/9/2018,,6,7/9/2018,3,,,,1,3,23,,,9
9,7/9/2018,,6,7/9/2018,3,,1,,1,5,19,,,9
10,7/9/2018,,6,7/9/2018,3,,,,1,3,22,,,6
1,7/16/2018,,6,7/16/2018,2,1,,,,2,9,1,,7
2,7/16/2018,,6,7/16/2018,2,,,,,11,24,,,11
3,7/16/2018,,6,7/16/2018,6,,1,,,6,10,,,10
4,7/16/2018,,6,7/16/2018,2,,,,2,8,12,,,11
5,7/16/2018,,6,7/16/2018,2,,,,,6,11,,,7
6,7/16/2018,,6,7/16/2018,2,1,,,,3,14,,,12
7,7/16/2018,,6,7/16/2018,2,,,,,4,2,,,8
8,7/16/2018,,6,7/16/2018,2,,,,,4,2,,,8
9,7/16/2018,,6,7/16/2018,3,,1,,1,6,20,,,11
10,7/16/2018,,6,7/16/2018,1,,1,,,1,22,,,8
1,7/23/2018,,6,7/23/2018,2,2,,,,2,3,,,6
2,7/23/2018,,6,7/23/2018,1,,,,,1,1,,,3
3,7/23/2018,,6,7/23/2018,3,,,,,10,20,,,5
4,7/23/2018,,6,7/23/2018,4,,,,,3,9,,,6
