Sample ID,Side,Date,Watershed,Date,Dipteran,Terrestrial,Caddisfly,Mayfly,Stonefly,Other,Dipteran,Terrestrial,,Other
1,,5/21/2018,9,5/21/2018,10,2,,,,3,16,2,,10
2,,5/21/2018,9,5/21/2018,3,1,,,1,4,6,,,7
3,,5/21/2018,9,5/21/2018,2,3,,,,,6,2,,
4,,5/21/2018,9,5/21/2018,4,1,,,,,13,2,,5
5,,5/21/2018,9,5/21/2018,4,1,,,,,8,2,,3
6,,5/21/2018,9,5/21/2018,3,,,,,2,7,1,,3
7,,5/21/2018,9,5/21/2018,2,,,,,,67,,,
8,,5/21/2018,9,5/21/2018,4,2,,,1,,29,,,2
9,,5/21/2018,9,5/21/2018,3,,,,1,1,17,2,,8
10,,5/21/2018,9,5/21/2018,3,1,,,,2,7,5,,6
1,,5/29/2018,9,5/29/2018,5,4,,,1,2,21,9,,32
2,,5/29/2018,9,5/29/2018,4,1,,,,,8,6,,14
3,,5/29/2018,9,5/29/2018,4,5,,,,2,19,13,,13
4,,5/29/2018,9,5/29/2018,1,3,,,,3,10,5,,11
5,,5/29/2018,9,5/29/2018,11,6,,,,,51,4,,12
6,,5/29/2018,9,5/29/2018,12,2,,,1,,13,4,,6
7,,5/29/2018,9,5/29/2018,4,1,,,,3,35,6,,8
8,,5/29/2018,9,5/29/2018,,,,,,,11,2,,3
9,,5/29/2018,9,5/29/2018,2,3,,,,,47,10,,13
10,,5/29/2018,9,5/29/2018,7,,,,,,10,1,,5
1,,6/4/2018,9,6/4/2018,4,,,,,1,11,,,8
2,,6/4/2018,9,6/4/2018,4,,,,,,29,,,7
3,,6/4/2018,9,6/4/2018,6,,1,,,1,40,,,16
4,,6/4/2018,9,6/4/2018,2,,1,,1,,33,,,7
5,,6/4/2018,9,6/4/2018,4,,,,,1,27,,,
6,,6/4/2018,9,6/4/2018,14,,,,,2,67,,,12
7,,6/4/2018,9,6/4/2018,13,1,,,,2,44,,,18
8,,6/4/2018,9,6/4/2018,6,2,,,1,1,20,,,22
9,,6/4/2018,9,6/4/2018,3,4,,,,1,33,,,36
10,,6/4/2018,9,6/4/2018,3,2,,,1,2,22,,,18
1,,6/11/2018,9,6/11/2018,15,,,,,,26,,,2
2,,6/11/2018,9,6/11/2018,2,,,,,1,27,,,5
3,,6/11/2018,9,6/11/2018,2,1,,,,2,70,,,7
4,,6/11/2018,9,6/11/2018,,3,,,1,,31,,,4
5,,6/11/2018,9,6/11/2018,,3,,,1,,13,,,4
6,,6/11/2018,9,6/11/2018,6,1,,,1,3,55,,,24
7,,6/11/2018,9,6/11/2018,3,1,,,,,14,,,3
8,,6/11/2018,9,6/11/2018,4,2,,,,,77,,,8
9,,6/11/2018,9,6/11/2018,2,,,,,1,35,,,4
10,,6/11/2018,9,6/11/2018,1,,,,,,11,,,2
1,,6/18/2018,9,6/18/2018,1,,,,1,3,20,,,6
2,,6/18/2018,9,6/18/2018,3,,,,1,2,27,,,4
3,,6/18/2018,9,6/18/2018,4,1,1,,,4,66,,,8
4,,6/18/2018,9,6/18/2018,3,2,,,,7,41,,,
5,,6/18/2018,9,6/18/2018,3,3,,,,4,45,,,36
6,,6/18/2018,9,6/18/2018,3,3,1,,3,,56,,,34
7,,6/18/2018,9,6/18/2018,4,8,2,,3,,41,,,
8,,6/18/2018,9,6/18/2018,3,1,1,,,1,45,,,31
9,,6/18/2018,9,6/18/2018,3,1,,,,,21,,,
10,,6/18/2018,9,6/18/2018,2,,,,,3,64,,,18
1,,6/25/2018,9,6/25/2018,6,8,,,,4,30,,,25
2,,6/25/2018,9,6/25/2018,1,,1,,,1,27,,,62
3,,6/25/2018,9,6/25/2018,6,6,,,1,1,30,,,48
4,,6/25/2018,9,6/25/2018,2,7,,,1,1,11,,,13
5,,6/25/2018,9,6/25/2018,5,1,,,,3,27,,,14
6,,6/25/2018,9,6/25/2018,1,1,1,,,,5,,,4
7,,6/25/2018,9,6/25/2018,4,1,1,,,1,12,,,13
8,,6/25/2018,9,6/25/2018,6,1,,,,4,52,,,27
9,,6/25/2018,9,6/25/2018,5,,1,,,2,26,,,17
